event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
935,kelmarsh,K05,2023-05-05 03:22:12,0.654722,0.0,0.0,0.0,0.0,0.0,False,False,True
936,kelmarsh,K05,2023-05-05 04:03:35,0.020278,0.0,0.0,0.0,0.0,0.0,False,False,True
937,kelmarsh,K05,2023-05-05 04:07:27,0.071111,0.0,0.045388,0.116352,0.0,0.0,True,True,True
938,kelmarsh,K05,2023-05-06 06:02:54,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
939,kelmarsh,K05,2023-05-06 06:18:22,0.089444,0.0,0.0,0.0,0.0,0.0,False,False,True
940,kelmarsh,K05,2023-05-06 06:27:52,0.023333,0.0,0.0,0.0,0.0,0.0,False,False,True
941,kelmarsh,K05,2023-05-06 06:30:27,0.493889,0.0,0.0,0.0,0.0,0.0,False,False,True
945,kelmarsh,K05,2023-07-28 11:02:43,4.190278,2.693245,0.512345,1.313395,2.1809,1.379849,False,False,False
1141,kelmarsh,K06,2021-07-29 09:14:16,0.096389,0.078765,0.878932,2.253141,0.0,0.0,True,True,False
1299,penmanshiel,P01,2017-10-06 12:15:48,0.17,0.0,0.0,0.0,0.0,0.0,False,False,True
1426,penmanshiel,P01,2022-02-10 14:29:06,0.175556,0.340178,1.616131,4.142947,0.0,0.0,True,True,False
